AssertionID,Status,Coverage,Details
discovery-vocab-created--RegistrationInformation,skipped,0%,skipped:TestTODO
discovery-vocab-expires--RegistrationInformation,skipped,0%,skipped:TestTODO
discovery-vocab-modified--RegistrationInformation,skipped,0%,skipped:TestTODO
discovery-vocab-retrieved--RegistrationInformation,skipped,0%,skipped:TestTODO
discovery-vocab-ttl--RegistrationInformation,skipped,0%,skipped:TestTODO
td-validation-jsonschema,skipped,0%,skipped:TestTODO
td-validation-response,skipped,0%,skipped:TestTODO
td-validation-result,skipped,0%,skipped:TestTODO
td-validation-syntactic,passed,50%,passed:TestPatch/fail_to_remove_mandatory_title/status_code skipped:TestTODO
tdd-distributed-search-semantic,skipped,0%,skipped:TestSPARQL
tdd-distributed-search-semantic-imp,skipped,0%,skipped:TestSPARQL
tdd-http-errors,skipped,0%,skipped:TestTODO
tdd-https,skipped,0%,skipped:TestTODO
tdd-reg-additional-representation,skipped,0%,skipped:TestTODO
tdd-reg-anonymous-td-identifier,failed,0%,failed:TestCreateAnonymousThing/location_header
tdd-reg-create-anonymous-td,failed,50%,passed:TestCreateAnonymousThing/submit_request failed:TestCreateAnonymousThing/result
tdd-reg-create-anonymous-td-generated-id,failed,0%,failed:TestCreateAnonymousThing/location_header
tdd-reg-create-anonymous-td-resp,failed,50%,passed:TestCreateAnonymousThing/status_code failed:TestCreateAnonymousThing/location_header
tdd-reg-create-body,passed,100%,passed:TestCreateAnonymousThing/submit_request TestCreateThing/submit_request TestCreateThing/result
tdd-reg-create-contenttype,failed,0%,failed:TestCreateAnonymousThing/content_type TestCreateThing/content_type
tdd-reg-create-known-td,passed,100%,passed:TestCreateThing/submit_request TestCreateThing/result
tdd-reg-create-known-td-resp,passed,100%,passed:TestCreateThing/status_code
tdd-reg-default-representation,skipped,0%,skipped:TestTODO
tdd-reg-delete,passed,100%,passed:TestDelete/existing/submit_request TestDelete/existing/result TestDelete/non-existing/submit_request
tdd-reg-delete-resp,passed,100%,passed:TestDelete/existing/status_code TestDelete/non-existing/status_code
tdd-reg-list-http11,skipped,0%,skipped:TestListThings/http11_chunking
tdd-reg-list-http2,skipped,0%,skipped:TestListThings/http2_streaming
tdd-reg-list-method,passed,100%,passed:TestListThings/submit_request TestListThings/status_code
tdd-reg-list-pagination,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-header-canonicallink,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-header-nextlink,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-header-nextlink-attr,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-limit,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-order,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-order-default,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-order-nextlink,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-pagination-order-unsupported,skipped,0%,skipped:TestListThings/pagination
tdd-reg-list-resp,passed,100%,passed:TestListThings/content_type TestListThings/payload
tdd-reg-operations,skipped,0%,skipped:TestTODO
tdd-reg-retrieve,passed,100%,passed:TestRetrieveThing/submit_request TestRetrieveThing/result
tdd-reg-retrieve-resp,passed,100%,passed:TestRetrieveThing/status_code TestRetrieveThing/content_type
tdd-reg-types,skipped,0%,skipped:TestTODO
tdd-reg-update,passed,100%,passed:TestUpdateThing/submit_request TestUpdateThing/result
tdd-reg-update-contenttype,passed,100%,passed:TestUpdateThing/submit_request TestUpdateThing/result
tdd-reg-update-partial,passed,100%,passed:TestPatch/replace_title/submit_request TestPatch/replace_title/result TestPatch/remove_description/submit_request TestPatch/remove_description/result TestPatch/update_properties/submit_request TestPatch/update_properties/result TestPatch/replace_array/submit_request TestPatch/replace_array/result TestPatch/fail_to_remove_mandatory_title/submit_request
tdd-reg-update-partial-contenttype,passed,100%,passed:TestPatch/replace_title/submit_request TestPatch/remove_description/submit_request TestPatch/update_properties/submit_request TestPatch/replace_array/submit_request TestPatch/fail_to_remove_mandatory_title/submit_request
tdd-reg-update-partial-mergepatch,passed,100%,passed:TestPatch/replace_title/result TestPatch/remove_description/result TestPatch/update_properties/result TestPatch/replace_array/result
